gx,gy,gz
0.089888744,-0.03574322,-0.041454807
0.071562804,-0.038186677,-0.04267654
-0.002962694,-0.024747657,-0.008468112
-0.03839285,-0.030856306,0.012301289
-0.040836304,-0.03452149,-0.004802924
0.005589411,-0.025969388,-0.03901135
0.03857611,-0.02108247,-0.051228642
0.03857611,-0.023525925,-0.046341725
0.032467462,-0.01741728,-0.03168097
-0.002962694,-0.022304198,-0.050006915
0.003145956,-0.014973821,-0.05733729
0.048349947,0.00457385,-0.03534616
0.047128215,0.00457385,-0.024350595
0.004367683,-0.027191116,-0.032902703
-0.001740964,-0.027191116,-0.053672105
0.017806709,-0.013752092,-0.046341725
-0.000519235,-0.019860739,-0.03412443
-0.001740964,-0.036964953,-0.03412443
0.017806709,-0.045517057,-0.04389827
0.032467462,-0.030856306,-0.03778962
0.027580544,-0.012530362,-0.017020218
0.005589411,-0.02108247,-0.009689841
0.004367683,-0.036964953,-0.030459242
0.044684753,-0.032078035,-0.04023308
0.06178897,-0.006421715,-0.023128865
0.015363246,-0.008865174,-0.01335503
0.008032873,-0.019860739,-0.018241948
0.07400626,-0.001534797,-0.015798489
0.11432333,0.035117086,-0.01335503
0.098440856,0.04489092,-0.002359465
0.091110475,0.055886485,0.001305723
0.115545064,0.09864702,0.022075124
0.120431975,0.15240312,0.057505276
0.116766796,0.20493747,0.11492656
0.053236857,0.27091086,0.19189551
-0.045723222,0.32833213,0.2700862
-0.13490948,0.37720132,0.356829
-0.16178752,0.4297357,0.4899975
-0.1275791,0.45783547,0.654931
-0.09947932,0.4712745,0.79420817
-0.09092721,0.4798266,0.88583785
-0.11902699,0.48593524,0.9921283
-0.17644827,0.47371793,1.0849798
-0.23875648,0.4798266,1.1631705
-0.25341722,0.4798266,1.2694609
-0.22531745,0.4395095,1.3623123
-0.17400482,0.3979707,1.4221771
-0.13979639,0.37353614,1.485707
-0.15445715,0.3356625,1.5321327
-0.23509128,0.30756274,1.5382414
-0.2595259,0.31367138,1.5504587
-0.2314261,0.3100062,1.5810019
-0.20454805,0.2562501,1.5822237
-0.19477421,0.20249403,1.54435
-0.18377864,0.20860267,1.530911
-0.24242166,0.2098244,1.4918157
-0.2521955,0.18050289,1.4905939
-0.2314261,0.16584213,1.4624941
-0.27052146,0.19027673,1.3867469
-0.21187843,0.21104613,1.4075164
-0.18011346,0.27824122,1.440503
-0.2973995,0.25014147,1.3195518
-0.22531745,0.20249403,1.2584653
-0.09947932,0.24769801,1.2401394
-0.27540836,0.23181553,1.0935318
-0.42323762,0.15606831,1.0409975
-0.4097986,0.14018582,1.0312237
-0.41224205,0.19638537,0.96525025
-0.5429671,0.16339868,0.8479642
-0.54418886,0.088873185,0.75999975
-0.28640392,0.10842086,0.7636649
-0.12513563,0.18783326,0.74289554
-0.21432188,0.14629446,0.6585962
-0.3389383,0.08398627,0.5266494
-0.19721767,0.1352989,0.5009931
-0.07748819,0.19882883,0.4863323
-0.20699151,0.101090476,0.38126358
-0.25463897,0.03389536,0.28963387
-0.027397282,0.12674679,0.30185115
0.064232424,0.1768377,0.2700862
-0.13124429,0.07176897,0.17356957
-0.22898264,-0.01741728,0.10637446
-0.040836304,0.057108216,0.13936114
0.022693627,0.107199125,0.12836558
-0.13490948,0.020456333,0.05139663
-0.16423097,-0.028412843,-0.04389827
0.121653706,0.0522213,-0.045119997
0.28536546,0.10475567,-0.064667664
0.14120138,0.04611265,-0.08788053
-0.06404917,-0.03329976,-0.1367497
0.003145956,-0.022304198,-0.16851467
0.13509274,-0.002756527,-0.21494038
0.14242311,-0.012530362,-0.26380956
0.1008843,-0.012530362,-0.2858007
0.14731003,-0.028412843,-0.29923972
0.18884882,-0.05406916,-0.32367432
0.116766796,-0.08216894,-0.41286057
0.089888744,-0.095607966,-0.46295145
0.14975348,-0.063843,-0.4934947
0.21206169,-0.074838564,-0.59856343
0.24016148,-0.12370774,-0.6889714
0.1375362,-0.18601595,-0.80747914
0.11798853,-0.2544328,-0.96630394
0.27681336,-0.33262348,-1.0811465
0.40142974,-0.40470552,-1.2436366
0.39165592,-0.41936627,-1.4159003
0.27803507,-0.43402705,-1.5466255
0.21206169,-0.50855255,-1.6736853
0.25970915,-0.5733042,-1.815406
0.32690427,-0.5781911,-1.9815612
0.3696648,-0.5977388,-2.0951822
0.30613485,-0.61972994,-2.1513817
0.14975348,-0.61850816,-2.2063594
0.08011491,-0.6111778,-2.2613373
0.19617921,-0.72968554,-2.2784414
0.38554728,-0.75900704,-2.2149115
0.58957607,-0.62095165,-2.0841866
0.5272679,-0.5647521,-2.0059958
0.19740093,-0.64660794,-1.9302485
0.012919791,-0.7406811,-1.8019669
0.15097521,-0.6698208,-1.6749071
0.46251622,-0.4743441,-1.5844991
0.59079784,-0.40470552,-1.4818738
0.38066036,-0.47067893,-1.3059448
0.11432333,-0.45479643,-1.1544503
0.059345506,-0.33018002,-1.0310556
0.033689186,-0.25931972,-0.90277404
0.012919791,-0.26542836,-0.72562325
0.20595305,-0.28619778,-0.66575855
0.40020803,-0.17868556,-0.61444587
0.4490772,-0.11637737,-0.57046366
0.36844307,-0.08583413,-0.52037275
0.19251402,-0.07850375,-0.4482907
-0.05427533,-0.07728202,-0.35788274
-0.061605707,-0.076060295,-0.20027964
0.17296635,-0.036964953,-0.078106694
0.3537823,0.002130391,-0.11109339
0.3244608,0.06566032,-0.15629737
0.15952732,0.085208,-0.091545716
0.019028436,0.029008439,0.024518583
-0.007849611,-0.01619555,0.03184896
0.021471895,-0.03329976,-0.048785187
0.025137082,-0.039408408,-0.08177188
0.017806709,-0.055290893,-0.045119997
0.03124573,-0.05895608,0.018409936
-0.03350593,-0.06750818,0.040401064
-0.14223985,-0.088277586,0.037957605
-0.17644827,-0.12370774,0.025740312
-0.104366235,-0.11882082,0.004970912
-0.022510365,-0.07728202,-0.019463677
0.000702493,-0.049182244,-0.010911571
-0.03350593,-0.050403975,0.012301289
-0.110474885,-0.05895608,0.013523018
-0.17400482,-0.029634574,-0.014576759
-0.1275791,-0.013752092,0.018409936
-0.007849611,0.04733438,0.08927024
-0.017623447,0.07176897,0.06850084
-0.013958259,0.069325514,0.023296854
0.06911934,0.094981834,0.015966477
0.13020581,0.10597739,0.058727004
0.10699296,0.087651454,0.0917137
-0.009071341,0.04733438,0.05139663
-0.07504473,0.022899792,0.023296854
-0.03839285,0.02656498,0.019631665
0.001924224,0.037560545,0.028183771
0.03735438,0.03389536,0.017188206
0.07034107,0.040004004,0.013523018
0.010476328,0.02656498,0.020853395
-0.043279767,-0.013752092,0.037957605
-0.03350593,-0.055290893,0.03184896
-0.016401717,-0.076060295,0.002527453
0.000702493,-0.0931645,-0.009689841
-0.015179988,-0.11149044,-0.024350595
-0.055497058,-0.11882082,-0.04389827
-0.07626646,-0.12004255,-0.052450374
-0.07504473,-0.11026871,-0.048785187
-0.0322842,-0.10782526,-0.03534616
0.017806709,-0.07972548,-0.019463677
0.023915354,-0.047960512,-0.019463677
-0.029840741,-0.050403975,-0.029237512
-0.05183187,-0.044295326,-0.006024653
-0.049388412,-0.007643445,0.04773144
